content,content_en
bukan mudah malah sulit mulai sinyal padahal pake aplikasi lancar lancar aja kualitas foto jelek percuma terang bagus tulis bagus kalau foto burem mah terus deteksi angka nya parah masa angka 1 baca angka 7 lah 6 lah 4 lah padahal udah tarik lurus pake topi angka nya sama kalau niat mau pake aplikasi coba buat lama mah satu bulan mau pake baru bikin haduuuh parah jadi kpps sekarang cuma buat uji coba parah parah,"it's not easy, in fact it's difficult to start a signal even though using the application it runs smoothly, the photo quality is bad, it's useless, it's bright, it's good, the writing is good, if the photo is blurry, the number detection is really bad, when the number 1 reads, the number 7 is 6, it's 4, even though you've pulled it straight using a hat, the numbers are the same. I intended to use the application to try it for a long time, but after a month I wanted to use it, it made me really bad, so now KPPS is just trying it out, it's really bad."
kasih tau waktu lapang yah min 1 app kurang baca 100  x baca 1 2 tombol online offline sebut cuma pop up jadi sedikit repot 3 sesi terlalu pendek ketika mode offline lalu ke app online dulu 4 terkadang tabel edit di edit ada tida 5 yang paling nyebelin  lebih muat keluar kode 504 sampe ahir milu rampung lah min baik servernya yang 2jt guna nampung,"let me know if you have free time, min 1 app is not enough to read 100 x read 1 2 the online offline button says it only pops up so it's a bit of a hassle 3 the session is too short when in offline mode then go to the online app first 4 sometimes the edit table is edited there is no 5 which is the most annoying more load out the code 504 until the end of the millu is finished, min, the server has 2 million to accommodate it."
aplikasi butut heran kpu kasih waktu 5 tahun buat ni aplikasi hasil malah ada kayak niat buat lebih hemat budget mungkin bisa unggah foto galeri kualitas foto jadi jelek banget  blur ada flash unggah suka minta foto ulang mana buat repot kali kalo amanah buat aplikasi buat baik mungkin masuk teman sudah ulas pikir,"The application is so run down, it's surprising that KPU gave 5 years to make this application. The results are actually there, it seems like the intention is to save more on the budget, maybe you can upload gallery photos, the quality of the photos is really bad, blurry, there's a flash. Uploading likes to ask for photos again, which is why it's a hassle, if it's trustworthy, make the application good, maybe it'll come in. friends have already reviewed it"
aplikasi gagal suka nge bug over akses bikin lot kamera bisa fokus kualitas gambar tulis jadi blur unggah gambar tulis tunggu saat 3 hari blum selesai proses unggah cara pengaplikasianya cukup mudah ya tadi contoh aplikasi milu tahun 2019 sampe sekarang ada ubah,"the application fails, like bugs over access, the camera can focus a lot, the quality of the written image becomes blurry, upload the written image, wait for 3 days before the upload process is finished, the application method is quite easy, yes, that was an example of the 2019 Milu application until now there has been a change"
banyak kurang salah satu aktif lampu flash mau foto coba tambah fitur nyala flash bantu foto mungkin depan bisa pikir discan c-salinan ukur a4 sekarang hampir tiap tps lengkap printer bisa scan copy,"There are many missing, one of the flash lights is active, I want to take a photo, try adding a flash feature to help with photos, maybe in the future you can think about scanning C-copies measuring A4, now almost every tps is complete, the printer can scan a copy"
made in perintah dulu gin mulu ya minus bisa auto focus fitur utama buah aplikasi guna kamera bisa nyala flash fitur tambah jelas objek foto bisa pake foto galeri fitur tambah minta foto ulang server kurang kuat,made in the first order gin first yes minus can auto focus the main feature of the application for the camera can turn on the flash the feature makes the object clearer the photo can use gallery photos the added feature asks for a re-photo the server is not strong enough
sy beri rating 4 bintang sbg bentuk apresiasi aplikasi belum kerja maksimal utama proses baca  analis foto form c hasil plano kita upload sangat2 lama sekali 5 hr tgl milu belum selesai proses kita kunci buat dokumen c hasil harap depan bisa lebih baik utama daya kapasitas servernya,"I give a rating of 4 stars as a form of appreciation for the application not working optimally, the main process of reading form C photo analysis, our plano results took a very long time to upload, 5 days on the date of Milu, the process was not finished, we keyed the C document, we hope the future can be better, especially the server capacity."
aplikasi gagal udah foto beberapa kali kenal bukan bantu jalan milu malah ganggu belum realis aplikasi sesuai butuh fasilutasnya pada jangan masih dalam baik sudah di guna,"The application has failed, I've taken photos several times, I know it doesn't help Milu, it actually bothers me, it's not yet real, the application meets the needs, the facilities don't need it, it's still in good condition, it's been used"
mohon hormat instansi kait klo misal baca aplikasi mohon baik servernya padahal jaring sya pakai sangat stabil perangkat guna pada sesuai arah sudah umum jauh hari jelang mungut suara,"Please respect the relevant agencies, for example, when reading the application, please check the server, even though the net I use is very stable, the device works in accordance with the general direction, long before voting"
kalau sempurna usah pakai dulu tugas kpps pusing tambah aplikasi bobrok lapor c hasil bisa edit login lama upload data lama sering log out sendiri inti sempurna dulu baru pakai,"if it's perfect, use it first, KPPS tasks are confusing, add broken applications, report c, results can be edited, login takes a long time, uploads old data, often logs out itself, core is perfect, then use it"
aplikasi paling jelek antara aplikasi ada play astor aplikasi selalu minta update pas hari guna banyak kendala bikin nambah pusing kerja tolong kalau aplikasi di kategori abal-abal ni di baik biar lebih baik depan ada kendala dll,"The worst application among the applications is Play Astor, the application always asks for updates on the day, there are lots of problems, it makes work more confusing, please help if the application is in this fake category, please improve it so that it will be better next time there are problems, etc."
lebih tingkat lagi utama kamera fokus kasih flash upload terlalu lama data baca salah jd edit sendiri sangat buang waktu lambat kerja fitur edit tambah jangan skali pencet bsa ubah bisa edit data bner bner sesuai cukup bantu dr yang belum banyak nyusahinnya aplikasi,"the main level is that the camera focuses on the flash, the upload takes too long, the data is read incorrectly, so editing it yourself is a waste of time, the editing feature is slow, don't press it once, you can change it, you can edit the data, it's really appropriate, it's enough to help Dr. who hasn't had much trouble with the application"
aplikasi sangat layak guna akan cepat malah sulit mohon sempurna lagi sangat banyak kurang 1 handphone posisi online aplikasi deteksi offline 2 saat unggah foto aplikasi benar  baca angka c plano 3 unggah foto menu dpr waktu sangat lama dll banyak kurang  ,"the application is very usable, it will be fast, but it's difficult, please be perfect again, very much less 1 mobile phone online position, offline detection application 2 when uploading photos, the application correctly reads the c plano number 3 uploading photos, dpr menu takes a very long time, etc., many less"
sedikit saran ttg aplikasi ini aplikasi agar akses kamera utama gambar di ambil lebih tajam hasil lama uji coba kemarin gambar di ambil rata blur walaupun cahaya cukup padahal banyak teman sirekap punya device lumayan bagus dr segi kamera hasil gambar juga sangat pengaruh upload gambar sering gagal tidak baca sistem mohon baik tingkat terima kasih,"A little advice about this application is an application so that access to the main camera, the images taken are sharper, the results of a long test yesterday, the images taken are generally blurry even though the light is sufficient, even though many of Sirekap's friends have devices that are quite good in terms of camera, the image results are also very affected by uploading images, they often fail and don't read them. system please good rate thank you"
sulit seperti aplikasi nya bom layak guna angka foto yang baca sesuai kadang tidak baca edit jatuh nyalin hasil mohon di tingkat terimakasih,"It's difficult, like the application, it's a bomb, it's worth using photo numbers that read correctly, sometimes they don't read, edits fall, copy the results, please rate it, thank you"
instansi sangkut alangkah bagus laksana milu aplikasi sirekap uji coba dulu riset ambil sampel banyak tau lemah supaya baik jujur sekarang aplikasi sirekap banyak lemah utama hitung suara sirekap plano jadi tidak sesuai hitung suara tidak ubah sesuai plano apakah pihak selenggara mohon perhati terima kasih,"It's great how good it is to participate in the sirekap application, test it first, research, take a lot of samples, you know it's weak, so it's good to be honest, now the sirekap application is weak, the main thing is to count the votes, sirekap plano, so it's not suitable, count the votes, it doesn't change according to the plan, does the maintenance party please pay attention, thank you"
aplikasi parah kelas milu aplikasi kok begini mulai sering eror instruksi ofline tiba2 online aneh beda hasil hasil real baca hasil aplikasi itu bisa edit operator sirekap kalau ini gmn nama curang,"the application is bad for milu class, why is the application like this starting to frequently error, the offline instructions suddenly come online, the results are strange, the real results are different, read the results of the application, you can edit the operator, react, if this is what cheating is called"
ambil gambar padahal otomatis pada titik posisi pas kenapa hasil selalu terang ambil gambar salah padahal update versi baru tolong tingkat kualitas cepat sistem nya di baik kalau begini terus hari h ujung ujung pakai salin rekapitulasi manual,"take a picture even though it's automatically at the right position, why is the result always bright, take the wrong picture even though it's a new version update, please make the quality level fast, the system is good, if it continues like this, the end of the day, the end of the day, use manual recapitulation copy"
developer mohon maaf nih aplikasi bobrok sekali 1 server sering down  seperti anggar kurang banyak buat isi dompet  2 kamera aplikasi buat fokus manual  gada fitur flash padahal hitung bisa sampai malam hari kualitas foto sangat jelek 3 uji layak minimal 1 tahun-1 bulan milu kek kpps beban i waktu hari h sudah kurang tidur juga isi aplikasi masih bobrok,"developer, I'm sorry, this application is very dilapidated. 1 server is often down, like fencing, not enough to fill your wallet. 2 application cameras for manual focus, no flash feature, even though the calculation can last until nighttime. Photo quality is very bad. 3. Eligibility tests, at least 1 year-1 month, it's a long way off, KPPS burden On the day I had not had enough sleep and the contents of the application were still dilapidated"
aplikasi bagus masalah aplikasi banyak kurang crut pasti orang orang pemograman bas dekstop developer ngertilah kalau saja ada crut bisa ubah hapus ada dobel kata edit ulang kata salah jadi saran ada baik ulang aplikasi sehingga guna rasa nyaman guna aplikasi,"good application, the problem is that many applications don't have enough crut, surely people who are programming on desktop bass developers understand that if there is a crut, you can change it, delete it, there are double words, re-edit the wrong word, so there are suggestions, it's good to reinstall the application so that you feel comfortable using the application"
aplikasi sering log out sendiri scan foto langsung keluar hasil foto ulang baru ketemu hasil pas saya itu justru sulit  tambah durasi kerja anggota tuju jelas baik cepat kerja digitalisasi cuma nyata aplikasi final bisa di terap,"the application often logs out itself scans the photo straight away the results of the photo come out again only to find my exact results, it's actually difficult to increase the duration of the member's work, the aim is clear, good, fast, the digitization work is only real, the final application can be applied"
sangat banyak kurang aplikasi tuju mudah malah lebih sulit baca angka banyak salah utama x sering baca 8 kemudian aplikasi penting ini opsi edit saksi pps panwas waktu mungut juga waktu hitung salah isi tidak ada jalan kembali direset langsung pusat,"Very much lacking in the application, it's easy, it's even more difficult to read the numbers, lots of main mistakes, x often read 8 then this important application, PPS witness editing option, monitor the collection time and also the calculation time, the contents are wrong, there's no way back, it's reset straight away from the center"
saran opsi tambah foto galeri gambar masuk sesuai sudah ada tanda kuning tiap sisi ujung2nya di minta upload ulang tulis gagal muat data gambar periksa koneksi internet anda padahal koneksi internet baik sudah beberapa kali coba ganti tempat hotspot beberapa handphone tidak ubah bukan mudah malah hambat mohon maaf hpnya musti se-sultan apa bisa guna aplikasi dengan lancar ,"Suggestions for the option to add photos, gallery, the image entered is appropriate, there is a yellow mark on each side at the end, asking for re-upload, write failed to load image data, check your internet connection, even though the internet connection is good, I have tried changing the hotspot several times, some cellphones haven't changed, it's not easy, but it's slow, sorry, the cellphone You have to be a sultan to be able to use the application smoothly"
aplikasi jelek buat kerja 2x data hapus sendiri login susah angka nomor plano banyak betul sendiri user tepat percuma bila plano tulis angka digital dapat baca nyata baca harus foto ulang beberapa foto hasil manual di kirim pusat,"bad application for 2x work, data deletes itself, login is difficult, plano numbers are correct, lots of numbers are correct, the user is right, it's useless if plano writes digital numbers, it can actually be read, you have to re-photograph some of the manual photos sent by the center"
ni aplikasi ada beta test ya kendala terlalu banyak kamera burem baca data lama salah baca data log out pas kirim gambar finger kenal dst oke inisiasi bagus era digital mudah input data kpu atau tahu hasil suara cepat mungkin sangat beban kpps bukan cara operasi aplikasi kesiap aplikasi sendiri saran saya jangan di paksa malah jadi hal2 tidak ingin,"This application has a beta test, yes, the problem is that the camera is too blurry, reading old data, wrongly reading the data, logging out when sending pictures, knowing fingers, etc. OK, good initiation in the digital era, easy to input KPU data or find out the sound results quickly, maybe it's very burdensome for KPPS, not how to operate the application, the application itself is ready My advice is don't force it, it will turn out to be something you don't want"
saran kembang pada bagi hasil milu beri menu koreksi hal akan jadi kendala apabila tulis digital sesuai baca aplikasi jadi operator koreksi hasil sesuai hasil asli milu hari h milu 2024 susah bagaimana solusi mudah sistem jaring di aplikasi kuat data kuat masuk app sirekap data down baca huruf angka mudah jadi ngk hambat operator sirekap,"flower suggestions on milu profit sharing, give a correction menu, things will be an obstacle if you write digitally according to reading the application, become an operator, correct the results according to the original results of milu on the day of milu 2024, it's difficult, how is the easy solution for the net system in the strong application, strong data entering the sirekap app, data down, reading letters, numbers it's easy so it doesn't hinder the sirekap operator"
aplikasi masih banyak masalah utama bagi interface masih error pasu data tiba tiba ter-log out tiba sinkron huruf angka saran kan bisa menginput data lalu ketik keyboard bagai bukti kalau data tetap valid guna scan foto bisa optimal lancar performa aplikasi di bagai device utama os android 7 atas terimakasih,"The application still has a lot of problems, the main problem is that the interface still has errors when the data is suddenly logged out, suddenly the letters and numbers are in sync. Suggestions, you can input data and then type on the keyboard as proof that the data is still valid so that you can scan photos so that the application performance can be optimized smoothly on the main device, Android OS 7 thank you"
aplikasi level nasional servernya lot buat aplikasi perhati ui ux tidak guna analisis swot pieces kelas nasional kayak amatir banget kalau memang akses seluruh indonesia harus siap jaring servernya baik mungkin biar tidak repot tugas bintang ulas ubah sesuai mudah user saat guna aplikasi edit ulas paska milu inti aplikasi tidak manfaat thanks,"The national level application has a lot of servers. For applications, pay attention to the UI, UX, don't use national class SWOT analysis, it's really amateurish, if you really have access throughout Indonesia, you have to prepare the server network as well as possible so that you don't have to worry about the task of reviewing stars, changing according to the user's ease when using the post-military review editing application, the core of the application no benefit thanks"
kata offline saat guna malah jadi jelas pake kamera aplikasi golong burik mau pake kamera bawa handphone foto bisa masuk di aplikasi padahal hasil foto kamera lebih jernih jelas hasil camera aplikasi malah tidak baca,"The word offline when used actually becomes clear when using the application's camera, it's messy, if you want to use the camera, bring a cellphone, photos can be entered in the application, even though the camera photos are clearer, the results from the application's camera can't even be read."
kurang kualitas kamera baca c-hasil aplikasi masih kurang baik kualitas kamera nya saat unggah foto kelola daftar hadir cuma 1x foto ada fitur tambah foto daftar hadir lebih 1lembar pun untuk fitur tanda terima jadi khusus cuma 1x foto,"the camera quality is not good, read c-the results of the application are still not good, the camera quality when uploading photos, managing the attendance list, only 1 photo, there is a feature to add more photos to the attendance list, even for the receipt feature, so specifically only 1 photo"
aplikasi banyak kurang kamera bisa fokus selalu blur padahal terang maksimal sekali h-6 update aplikasi harus h- beberapa bulan ada update lagi login susah hampir tidak tidur aplikasi masalah kpps salah ada rating minus saya kasih rating minus,"the application has a lot of problems, the camera can't focus, it's always blurry, even though it's very bright, the maximum is 6 days, the application update has to be updated in a few months, logging in is difficult, almost no sleep, the application has a wrong KPPS problem, there is a minus rating, I give a minus rating"
banyak bug malah bikin sulit jelas bisa kirim foto lewat file tadi foto plan c eh bisa kirim di scan langsung jadi plan c sudah segel paksa harus di buka kembali ux simple inti malah sulit,"there are a lot of bugs, it actually makes it difficult, obviously, you can send photos via the file, you can send photos of plan C, you can send them and scan them directly, so plan C has been forced to seal, you have to open it again, ux is simple, core, it's even difficult"
jangan saat laksana kirim data sekarang beres aplikasi bisa buka user pasword sudah benar jawabannnya jadi salah ujung hasil hitung suara manual hasil plano akan dipake ajar milu belum aplikasi batas aplikasi,"Don't try sending data, now it's done, the application can be opened, the user password is correct, the answer is wrong, the results of the manual vote count, the results of the plan will be used, Teach Milu, not yet, the application has application limits."
aplikasi buat kerja kali lipat krn selalu log out hasil foto sesuai hasil benar edit nambah beban kerja pakai sirekap krn utk hindar fitnah atas kerja keras tak kenal waktu upload foto hasil jika liat verifikasi sama data utk submit justru sangat sulit itu jadi kendala utama,"application for double the work because you always log out, the photo results match the correct results, editing adds to the workload, use Sirekap because to avoid slander for hard work, you don't know the time to upload photos, if you look at the verification and data to submit, it's actually very difficult, that's the main obstacle."
aplikasi pas ambil ulang gambar malah keluar sendiri padahal chance data ulang kali coba hapus tidak ubah galeri semua foto dihapuss tetap tidak ubah juga,"When the application re-takes the picture it exits itself even though the chance of data being deleted again doesn't change the gallery, all the photos are deleted, it still doesn't change."
aplikasi sangat fungsi sama sekali sudah update 2 41 login hasil ada masalah pada ambil gambar  foto  notif selalu failed  gagal  harus ringan tugas panitia malah nambah2in beban,"the application is very functional, it has been updated 2 41 login results, there is a problem taking photos, the notification always fails, it has to be light, the committee's task actually adds to the burden"
aplikasi nya sama sekali worth it update nya sering error sering juga pas nge foto lama nunggu loadingnya kemarin pas milu malah bisa guna jadi dong kalo mau guna benar baik jadi lebih baik lagi saya sangat susah milu udah cape2 foto c-hasil trnyta malah error jadi percuma jadi mohon buat aplikasi benar guna,"the application is totally worth it, the updates often error a lot when taking photos, it took a long time to wait for it to load, yesterday when I had it, it could actually be used, so if you want to use it really, it's even better. I'm really having a hard time, Milu, I'm tired of taking photos, the results are actually errors, so it's useless. so please make the application correct"
hampir h-1 sangat banyak bug khusus 1 angka c hasil hasil scan sangat sering singkron kalau ulang ambil gambar hasil sangat jauh bahkan simulasi banyak rekan rekan ber puluh puluh kali ambil gambar hasil yang tidak koreksi 2 gambar sering kali buram padahal device sangat pada 3 sering log out loading lambat sekali 4  upload data sangat sulit server full  digitalisasi elit kualitas sulit,"almost day-1, there are a lot of special bugs, 1 number c, the scan results are very often out of sync, if you repeat taking pictures, the results are very far, even in simulations, many colleagues take pictures dozens of times, the results are not corrected, 2 pictures are often blurry, even though the device is very low, 3 times often log out loading is very slow 4 uploading data is very difficult full digitization elite quality server is difficult"
padahal versi baru 9 peb masih sangat jauh ekspektasi mau cepat progress data otentik malah lambat mohon baik waktu guna makin desak terima kasih,"Even though the new version 9 PEB is still very far away, the expectation is that the progress of authentic data will be fast, but instead it will be slow, please take the time to be more urgent, thank you"
hasil foto buram settingan bawa aplikasi pakai kamera ultra wide bukan main kamera utama kalo handphone kurang mahal spek kamera ultawide kurang tinggi susah  bukan cepat malah lambat proses coba terus  fitur settingan kamera  fitur fokus kamera tidak ada,"the photo results are blurry, the settings for using the application use an ultra wide camera, not the main camera, if the cellphone is not expensive enough, the ultra wide camera specs are not high enough, it's difficult, not fast, it's slow, the process keeps trying, the camera settings feature, the camera focus feature is not there"
gimana nih h-2 sering error aplikasi sering logout waktu habis isi data tidak masuk padahal username password edit benar begini lah hasil paksa hendak server stabil paksa pakai nanti mau salah operator tidak kompeten  padahal aplikasi tidak kompeten belum untuk guna   parah banget,"How about it? H-2, the application often has errors, often logs out when the data is finished, the data doesn't come in even though the username, password, edit is correct, this is the result of being forced to make the server stable, forced to use it later, the operator is incompetent, even though the application is incompetent, it's not yet usable, it's really bad."
aplikasi sekala nasional sulit guna memang guna nya offline aplikasi sulit identifikasi gambar data pahal hasil gambar sangat jelas harap bisa baharu karena aplikasi sangat butuh,The national scale application is difficult to use. It's offline. The application is difficult to identify image data but the image results are very clear. Hope it can be updated because the application really needs it.
aplikasi suka ubah foto apa keluar apa hasil edit kesan hasil milu diotak-atik kurang bagus aplikasi banyak lelet loading lama,"The application likes to change photos, what comes out, what are the results of the edit, the impression that the results of having to tinker with are not good, the application takes a lot of time to load"
aplikasi layak pakai tulis jelas baca slide 2 edit tidak muncul keyboard banyak tanda x baca 8 lambat proses gambar data,"The application is suitable for use, writes clearly, reads slide 2, edit doesn't appear on the keyboard, lots of x marks, read 8, slow image data processing"
bugnya parah tps rata2 dpt 300 kok input total 180 suara logicnya masuk kalo salah input diupload minimal kasih warning alert biar tugas data entry-nya bisa koreksi,"the bug is serious but on average you get 300 inputs, how come the total input is 180 votes, the logic goes in, if the input is wrong, upload it, at least give a warning alert so the data entry task can be corrected"
tolong kpu developer aplikasi ini kalau aplikasi siap masih banyak kendala lebih baik jangan guna ujicoba jangan jelang mau acara milu kan jangka panjang 5 tahun sekali utk pilpres bisa dperbaiki sedikit2 apa masih kendala jangan baru ujicoba n baik beberapa bulan acara,"Please KPU, the developer of this application, if the application is ready, there are still lots of problems, it's better not to try it out, don't try it before you want to hold a long-term event, once every 5 years for the presidential election, you can improve it a little. If there are still problems, don't just try it, it's good for a few months."
