content,content_en
aplikasi sering log out sendiri scan foto langsung keluar hasil foto ulang baru ketemu hasil pas saya itu justru sulit  tambah durasi kerja anggota tuju jelas baik cepat kerja digitalisasi cuma nyata aplikasi final bisa di terap,application often logs out itself scans photos directly out of the results of the new re-photograph found my pass results it is actually difficult to  increase the duration of work of the members to clear both fast digitization work only real final application can be applied
sangat banyak kurang aplikasi tuju mudah malah lebih sulit baca angka banyak salah utama x sering baca 8 kemudian aplikasi penting ini opsi edit saksi pps panwas waktu mungut juga waktu hitung salah isi tidak ada jalan kembali direset langsung pusat,very much less easy destination application even more difficult to read many numbers wrong main x often read 8 then this important application edit options witnesses pps panwas time collect also time count wrong content there is no way back reset directly central
saran opsi tambah foto galeri gambar masuk sesuai sudah ada tanda kuning tiap sisi ujung2nya di minta upload ulang tulis gagal muat data gambar periksa koneksi internet anda padahal koneksi internet baik sudah beberapa kali coba ganti tempat hotspot beberapa handphone tidak ubah bukan mudah malah hambat mohon maaf hpnya musti se-sultan apa bisa guna aplikasi dengan lancar ,suggestions for options to add photos to the image gallery in accordance there is already a yellow sign on each side of the edges to be asked to re-upload write failed to load image data check your internet connection even though the internet connection is good has been several times trying to replace the hotspot place some phones do not change is not easy even inhibit sorry hpnya must be sultan what can use the application smoothly
aplikasi jelek buat kerja 2x data hapus sendiri login susah angka nomor plano banyak betul sendiri user tepat percuma bila plano tulis angka digital dapat baca nyata baca harus foto ulang beberapa foto hasil manual di kirim pusat,the application is bad for work 2x data delete itself login difficult numbers plano numbers a lot of users right free if plano write digital numbers can read real read have to re-photo some photos of manual results in the send center
ni aplikasi ada beta test ya kendala terlalu banyak kamera burem baca data lama salah baca data log out pas kirim gambar finger kenal dst oke inisiasi bagus era digital mudah input data kpu atau tahu hasil suara cepat mungkin sangat beban kpps bukan cara operasi aplikasi kesiap aplikasi sendiri saran saya jangan di paksa malah jadi hal2 tidak ingin,this is the application there is a beta test yes the obstacle is too many burem cameras read the old data wrong read the data log out pas send a picture finger know etc okay good initiation digital era easy input kpu data or know the results sound fast may be very heavy kpps not the way to operate the application ready for the application itself my advice is not to be forced even so things do not want
saran kembang pada bagi hasil milu beri menu koreksi hal akan jadi kendala apabila tulis digital sesuai baca aplikasi jadi operator koreksi hasil sesuai hasil asli milu hari h milu 2024 susah bagaimana solusi mudah sistem jaring di aplikasi kuat data kuat masuk app sirekap data down baca huruf angka mudah jadi ngk hambat operator sirekap,suggestions for expansion on milu revenue sharing give correction menu it will be an obstacle if digital writing according to read the application so the operator corrects the results according to the original results milu day h milu 2024 it is difficult how the easy solution of the net system in the strong application strong data enters the syrup app data down read the letters easy numbers so it does not inhibit the syrup operator
aplikasi masih banyak masalah utama bagi interface masih error pasu data tiba tiba ter-log out tiba sinkron huruf angka saran kan bisa menginput data lalu ketik keyboard bagai bukti kalau data tetap valid guna scan foto bisa optimal lancar performa aplikasi di bagai device utama os android 7 atas terimakasih,application there are still many main problems for the interface still error data vases suddenlylogged out arrived in sync letters numbers suggestions right can input data and then type the keyboard like proof that the data is still valid to scan photos can be optimal smoothly application performance like the main device os android 7 for thank you
aplikasi level nasional servernya lot buat aplikasi perhati ui ux tidak guna analisis swot pieces kelas nasional kayak amatir banget kalau memang akses seluruh indonesia harus siap jaring servernya baik mungkin biar tidak repot tugas bintang ulas ubah sesuai mudah user saat guna aplikasi edit ulas paska milu inti aplikasi tidak manfaat thanks,the application at the national level of the server is a lot for the application to pay attention to ui ux not to use the analysis of swot pieces in the national class like a real amateur if indeed access all of Indonesia must be ready for the server net well maybe so as not to bother with the task of reviewing stars change according to easy users when using the post milu review edit application the core of the application does not benefit thanks
kata offline saat guna malah jadi jelas pake kamera aplikasi golong burik mau pake kamera bawa handphone foto bisa masuk di aplikasi padahal hasil foto kamera lebih jernih jelas hasil camera aplikasi malah tidak baca,"offline words when using it instead it becomes clear to use the camera application golong burik want to use the camera to bring a photo phone can enter the application even though the results of the camera photo are clearer, the results of the camera application are not even read"
kurang kualitas kamera baca c-hasil aplikasi masih kurang baik kualitas kamera nya saat unggah foto kelola daftar hadir cuma 1x foto ada fitur tambah foto daftar hadir lebih 1lembar pun untuk fitur tanda terima jadi khusus cuma 1x foto,lack of camera quality read c- the result of the application is still not good quality of the camera when uploading photos manage the present list only 1x photo there is a feature to add photos of the present list more than 1 sheet for the receipt feature so special only 1x photo
aplikasi banyak kurang kamera bisa fokus selalu blur padahal terang maksimal sekali h-6 update aplikasi harus h- beberapa bulan ada update lagi login susah hampir tidak tidur aplikasi masalah kpps salah ada rating minus saya kasih rating minus,many applications are lacking the camera can focus always blur even though it is bright at maximum h-6 update the application must be h- a few months there is another update login is difficult almost not sleeping application kpps problem is wrong there is a rating minus I give a rating minus
banyak bug malah bikin sulit jelas bisa kirim foto lewat file tadi foto plan c eh bisa kirim di scan langsung jadi plan c sudah segel paksa harus di buka kembali ux simple inti malah sulit,many bugs even make it difficult to clearly send photos through the file before the photo plan c eh can send in a scan directly so plan c has a forced seal to be reopened ux simple core is even difficult
jangan saat laksana kirim data sekarang beres aplikasi bisa buka user pasword sudah benar jawabannnya jadi salah ujung hasil hitung suara manual hasil plano akan dipake ajar milu belum aplikasi batas aplikasi,don't when it's like sending data now it's done the application can open the user password is correct so the wrong end of the manual voice count result plano results will be used to teach milu yet the application application limits
aplikasi buat kerja kali lipat krn selalu log out hasil foto sesuai hasil benar edit nambah beban kerja pakai sirekap krn utk hindar fitnah atas kerja keras tak kenal waktu upload foto hasil jika liat verifikasi sama data utk submit justru sangat sulit itu jadi kendala utama,application for work fold because always log out the results of the photos according to the correct results edit increase the workload using shingles because to avoid slander for hard work do not know the time to upload photos the results if you look at the verification of the same data to submit it is actually very difficult it becomes the main obstacle
aplikasi pas ambil ulang gambar malah keluar sendiri padahal chance data ulang kali coba hapus tidak ubah galeri semua foto dihapuss tetap tidak ubah juga,the application fits to retake the picture and even comes out on its own even though the chance of data being re-tried to delete it doesn't change the gallery all the photos are still unchanged too
aplikasi sangat fungsi sama sekali sudah update 2 41 login hasil ada masalah pada ambil gambar  foto  notif selalu failed  gagal  harus ringan tugas panitia malah nambah2in beban,very functional application at all has been updated 2 41 logins results there is a problem in taking pictures of notif photos always fail  to fail  must be light task of the committee instead add 2in load
aplikasi nya sama sekali worth it update nya sering error sering juga pas nge foto lama nunggu loadingnya kemarin pas milu malah bisa guna jadi dong kalo mau guna benar baik jadi lebih baik lagi saya sangat susah milu udah cape2 foto c-hasil trnyta malah error jadi percuma jadi mohon buat aplikasi benar guna,"the application is worth it at all, the update is often an error, often just wait for the old photo to load yesterday, the milu pass can even be used to become a dong if you want it to be really good so it's better I'm very difficult milu already cape2 photo c- the result of trnyta is even an error so it's free so please make a real application for"
hampir h-1 sangat banyak bug khusus 1 angka c hasil hasil scan sangat sering singkron kalau ulang ambil gambar hasil sangat jauh bahkan simulasi banyak rekan rekan ber puluh puluh kali ambil gambar hasil yang tidak koreksi 2 gambar sering kali buram padahal device sangat pada 3 sering log out loading lambat sekali 4  upload data sangat sulit server full  digitalisasi elit kualitas sulit,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 42 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
padahal versi baru 9 peb masih sangat jauh ekspektasi mau cepat progress data otentik malah lambat mohon baik waktu guna makin desak terima kasih,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 41 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
hasil foto buram settingan bawa aplikasi pakai kamera ultra wide bukan main kamera utama kalo handphone kurang mahal spek kamera ultawide kurang tinggi susah  bukan cepat malah lambat proses coba terus  fitur settingan kamera  fitur fokus kamera tidak ada,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 40 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
gimana nih h-2 sering error aplikasi sering logout waktu habis isi data tidak masuk padahal username password edit benar begini lah hasil paksa hendak server stabil paksa pakai nanti mau salah operator tidak kompeten  padahal aplikasi tidak kompeten belum untuk guna   parah banget,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 38 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
aplikasi sekala nasional sulit guna memang guna nya offline aplikasi sulit identifikasi gambar data pahal hasil gambar sangat jelas harap bisa baharu karena aplikasi sangat butuh,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 37 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
aplikasi suka ubah foto apa keluar apa hasil edit kesan hasil milu diotak-atik kurang bagus aplikasi banyak lelet loading lama,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 36 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
aplikasi layak pakai tulis jelas baca slide 2 edit tidak muncul keyboard banyak tanda x baca 8 lambat proses gambar data,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 35 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
bugnya parah tps rata2 dpt 300 kok input total 180 suara logicnya masuk kalo salah input diupload minimal kasih warning alert biar tugas data entry-nya bisa koreksi,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 33 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
tolong kpu developer aplikasi ini kalau aplikasi siap masih banyak kendala lebih baik jangan guna ujicoba jangan jelang mau acara milu kan jangka panjang 5 tahun sekali utk pilpres bisa dperbaiki sedikit2 apa masih kendala jangan baru ujicoba n baik beberapa bulan acara,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 32 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
gak sign-in aplikasi curang kembang jumlah suara tps-tps masuk dalam aplikasi bisa ubah jumlah otomatis olah yang ubah contoh  jumlah suara paslon 02 tps 70 suara yang keluar aplikasi jadi 870 suara kpu suruh bayar paslon 02 prabowo-gibran nih laporin ke playstore spy aplikasi dikeluarin playstore,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  23 HOURS 12 MINUTES 30 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
